REG_ENT_ID,RN,REG_ENT_NAME,CNTY_NAME,LATITUDE,LONGITUDE,CITY_NAME,PHYS_LOC_DESC_TXT,DELIV_TXT,CITY_NAME_1,USPS_STATE_CD,ZIP_CD,NEAR_CITY_NAME,LOC_ZIP_TXT
531369932001297,RN100580703,BENTLEY,TARRANT,0,0,ARLINGTON,"307 N Bowen Road, Arlington , TX",307 N BOWEN RD,ARLINGTON,TX,76012, ,76012
457370042001297,RN100580760,ACME RADIATOR SERVICE,TARRANT,0,0,FORT WORTH, ,2536 WHITE SETTLEMENT RD,FORT WORTH,TX,76107, ,76107
332370262001297,RN100580844,OZARKA DRINKING WATER,TARRANT,33,-97,FORT WORTH, ,4250 CAMBRIDGE RD,FORT WORTH,TX,76155,FORT WORTH,76155
309370302001297,RN100580869,TENNANT,TARRANT,0,0,GRAND PRAIRIE,"1025 Santerre, Grand Prairie, TX",1025 SANTERRE ST,GRAND PRAIRIE,TX,75050, ,75050
137370642001297,RN100580984,DEL NORTE TECHNOLOGY,TARRANT,33,-97,EULESS,1100 Pamela Dr Euless TX 76040,1100 PAMELA DR,EULESS,TX,76040,EULESS,76040
282373032001297,RN100581586,MEACHAM MART,TARRANT,0,0,FORT WORTH, ,2529 MEACHAM BLVD,FORT WORTH,TX,76106,FORT WORTH,76106
181373552001297,RN100581651,THOMSON & MORROW,TARRANT,0,0,FORT WORTH,2922 BLEDSOE FORT WORTH TX,2922 BLEDSOE ST,FORT WORTH,TX,76107, ,76107
976374392001297,RN100581800,MASTERS INTERNATIONAL,TARRANT,0,0,ARLINGTON,"2401 E Pioneer Pkwy, Arlington, TX",2401 E PIONEER PKWY,ARLINGTON,TX,76010, ,76010
432376702001297,RN100582196,GREGORY INDUSTRIAL WASTE HAULING SOUTHLAKE TX,TARRANT,0,0,SOUTHLAKE,"2110 Greenbriar  Drive, Southlake, TX",2110 GREENBRIAR DR,SOUTHLAKE,TX,76092, ,76092
270377072001297,RN100582303,PEPSI COLA BLUE MOUND,TARRANT,0,0,FORT WORTH, ,5201 BLUE MOUND RD,FORT WORTH,TX,76106, ,76106
